User ID,Gender,Age,EstimatedSalary,Purchased,Occupation,Education Level,Marital Status
15744529,Male,28,43373,0,Salesperson,Master,Widowed
15586757,Male,38,141404,1,Technician,PhD,Single
15722758,Male,27,10000,0,Chef,High School,Married
15722758,Male,31,43576,0,Manager,PhD,Married
15671655,Female,35,54677,0,Doctor,Bachelor,Divorced
15668521,Female,50,59571,1,Manager,Master,Widowed
15671766,Female,24,67017,0,Retired,PhD,Widowed
15586996,Female,41,68049,0,Chef,Bachelor,Widowed
15589449,Male,42,150000,1,Doctor,PhD,Single
15601550,Female,36,96682,0,Doctor,Master,Divorced
15672330,Male,45,37600,1,Clerk,PhD,Single
15801658,Male,20,58291,0,Retired,Master,Single
15772798,Male,36,98312,0,Retired,PhD,Divorced
15729054,Female,24,128183,1,Artist,High School,Single
15596984,Female,44,69808,0,Technician,Master,Divorced
15794493,Male,43,44115,0,Clerk,Bachelor,Widowed
15611191,Female,55,90425,1,Teacher,Master,Single
15807481,Male,26,110318,0,Engineer,PhD,Divorced
15596522,Male,51,101544,1,Artist,PhD,Single
15573926,Male,43,65556,1,Salesperson,Bachelor,Married
15701962,Male,44,31842,0,Retired,High School,Single
15581282,Male,35,101324,0,Manager,Master,Widowed
15709476,Male,18,75509,0,Manager,Master,Single
15636428,Female,33,120045,0,Technician,PhD,Widowed
15806901,Female,60,53111,1,Manager,Master,Married
15755018,Male,36,61869,0,Manager,Master,Single
15756820,Female,26,22482,0,Artist,High School,Single
15671655,Female,32,48051,0,Manager,Master,Single
15706071,Male,52,49371,1,Manager,Master,Married
15741049,Male,35,66933,0,Chef,Bachelor,Married
15798659,Female,33,66311,0,Manager,High School,Single
15809347,Female,38,90330,0,Artist,PhD,Widowed
15575247,Female,46,128193,1,Clerk,Master,Widowed
15672821,Female,53,130414,1,Salesperson,PhD,Divorced
15776348,Female,26,60234,0,Salesperson,Master,Divorced
15745232,Male,26,68067,0,Engineer,PhD,Married
15801247,Male,34,50450,0,Doctor,High School,Widowed
15778368,Male,56,78846,1,Salesperson,Master,Married
15685576,Male,28,10000,0,Retired,PhD,Married
15814553,Male,60,70045,1,Artist,PhD,Married
15783029,Male,27,120334,0,Engineer,PhD,Divorced
15779862,Male,31,46217,0,Salesperson,High School,Married
15685346,Male,54,150000,1,Engineer,Bachelor,Divorced
15759684,Female,53,51467,1,Doctor,High School,Single
15794566,Female,50,100133,0,Teacher,High School,Single
15654296,Female,49,41910,1,Manager,Master,Married
15708791,Male,56,121942,1,Teacher,High School,Divorced
15776844,Male,37,110614,0,Engineer,PhD,Single
15727696,Male,32,139731,1,Artist,Bachelor,Married
15787550,Male,39,46058,0,Teacher,High School,Single
15595324,Female,31,89256,0,Engineer,Bachelor,Married
15579781,Female,28,41765,0,Clerk,Master,Married
15757837,Male,34,35969,0,Salesperson,Bachelor,Divorced
15709441,Female,37,14079,0,Retired,High School,Divorced
15680243,Female,18,67487,0,Engineer,PhD,Widowed
15786993,Female,27,72957,0,Teacher,High School,Divorced
15609637,Female,42,54373,0,Clerk,Bachelor,Divorced
15624755,Female,56,21389,1,Teacher,Bachelor,Single
15584114,Male,24,10000,0,Retired,High School,Widowed
15625395,Male,53,26462,1,Teacher,High School,Single
15598070,Female,39,47548,0,Artist,High School,Married
15721835,Male,35,46637,0,Artist,High School,Divorced
15627220,Male,36,70573,0,Teacher,Bachelor,Divorced
15575694,Male,32,60060,0,Artist,High School,Married
15772798,Male,38,138647,0,Manager,PhD,Widowed
15779744,Male,40,98061,0,Doctor,Bachelor,Married
15708196,Male,49,83436,0,Teacher,Master,Single
15707634,Male,52,26475,1,Retired,PhD,Widowed
15624510,Male,22,43438,0,Doctor,High School,Single
15757632,Female,36,91393,0,Manager,PhD,Single
15611430,Female,60,33371,1,Technician,Bachelor,Married
15792008,Male,33,10000,0,Chef,High School,Divorced
15707634,Male,49,46308,1,Teacher,PhD,Divorced
15599081,Female,43,40247,1,Artist,PhD,Single
15571059,Female,35,54293,0,Engineer,High School,Single
15675185,Male,34,63057,0,Engineer,High School,Single
15800215,Female,41,28319,0,Technician,High School,Divorced
15575694,Male,34,105063,0,Engineer,PhD,Divorced
15595135,Female,21,67542,0,Technician,PhD,Married
15694879,Male,35,144860,1,Artist,Bachelor,Widowed
15574305,Male,33,59493,0,Artist,Master,Single
15709476,Male,18,41891,0,Chef,Bachelor,Married
15685346,Male,54,131134,1,Chef,Bachelor,Widowed
15779862,Male,30,73511,0,Chef,PhD,Single
15697424,Female,45,15082,0,Teacher,High School,Divorced
15694395,Female,27,20191,0,Artist,High School,Divorced
15680752,Female,45,141959,0,Teacher,Master,Divorced
15591915,Female,33,79237,0,Engineer,Master,Divorced
15642885,Male,21,24250,0,Chef,PhD,Single
15662901,Male,19,78837,0,Chef,PhD,Divorced
15690188,Female,35,28810,0,Artist,Bachelor,Divorced
15721592,Male,42,83623,0,Chef,Master,Single
15694946,Male,21,69352,0,Teacher,Master,Divorced
15792008,Male,28,26793,0,Chef,PhD,Divorced
15577514,Male,45,147753,1,Manager,Bachelor,Widowed
15606274,Female,23,66012,0,Artist,PhD,Widowed
15569641,Female,56,111483,1,Engineer,Bachelor,Married
15733973,Female,46,128310,1,Manager,Bachelor,Single
15595917,Male,30,85432,0,Artist,Master,Single
15573452,Female,22,10000,0,Technician,High School,Single
15694288,Female,31,84291,1,Retired,High School,Widowed
15722758,Male,31,17235,0,Chef,Master,Married
15566689,Female,37,72165,0,Engineer,Bachelor,Married
15727467,Male,55,56342,1,Chef,High School,Divorced
15644296,Female,36,73974,0,Salesperson,Master,Widowed
15772798,Male,37,107663,0,Retired,PhD,Divorced
15774744,Male,60,112187,1,Engineer,Master,Single
15759066,Female,32,56612,0,Retired,PhD,Widowed
15774179,Female,19,29106,0,Technician,PhD,Divorced
15631070,Female,35,73143,0,Salesperson,PhD,Married
15609669,Female,60,83973,1,Artist,Bachelor,Married
15697020,Female,37,82234,0,Doctor,High School,Single
15569641,Female,58,104502,1,Chef,PhD,Single
15603246,Female,28,65523,0,Engineer,High School,Widowed
15786993,Female,27,114813,0,Manager,PhD,Married
15795224,Female,34,119889,1,Retired,Master,Widowed
15768293,Female,44,66671,0,Technician,Bachelor,Married
15583137,Male,40,67898,0,Salesperson,Master,Divorced
15779744,Male,38,68917,0,Clerk,PhD,Divorced
15673539,Male,41,74708,1,Chef,Master,Widowed
15796351,Male,38,122864,1,Chef,Master,Widowed
15621083,Female,46,10000,1,Retired,Bachelor,Married
15709441,Female,38,49492,0,Teacher,Master,Widowed
15796351,Male,37,126045,1,Chef,PhD,Single
15730688,Male,43,37365,0,Technician,Bachelor,Married
15685576,Male,25,13071,0,Technician,Master,Married
15619465,Female,51,12011,1,Retired,Bachelor,Married
15684861,Male,34,98246,0,Doctor,PhD,Married
15680752,Female,45,109809,0,Technician,High School,Single
15587419,Female,39,90523,1,Chef,Master,Divorced
15811177,Female,36,77039,0,Chef,Master,Single
15753874,Female,35,94768,0,Artist,Master,Divorced
15741094,Male,18,44608,0,Teacher,PhD,Widowed
15694946,Male,23,60183,0,Artist,Master,Divorced
15800215,Female,43,56236,0,Technician,Master,Single
15697997,Female,35,86926,0,Artist,Master,Widowed
15589715,Female,49,119604,1,Technician,Master,Widowed
15759066,Female,31,68053,0,Salesperson,PhD,Widowed
15733883,Male,49,22399,1,Clerk,PhD,Single
15699247,Male,32,107553,0,Engineer,PhD,Divorced
15767871,Male,22,59484,0,Chef,High School,Widowed
15665416,Female,41,105474,0,Manager,PhD,Single
15631159,Male,45,20818,1,Technician,PhD,Married
15800215,Female,42,45183,0,Salesperson,Bachelor,Widowed
15793890,Female,39,76229,0,Chef,Bachelor,Divorced
15591433,Male,36,42121,0,Teacher,High School,Married
15711218,Male,35,89415,0,Artist,Bachelor,Divorced
15670619,Male,28,89071,0,Retired,PhD,Single
15577514,Male,44,117586,1,Clerk,Bachelor,Single
15691808,Female,41,56008,0,Salesperson,High School,Widowed
15723373,Male,36,48654,0,Artist,Bachelor,Divorced
15741049,Male,34,84104,0,Manager,Bachelor,Divorced
15713463,Male,43,86037,0,Salesperson,PhD,Married
15761950,Female,45,142286,1,Artist,Bachelor,Married
15704987,Male,32,30930,0,Artist,Master,Widowed
15785170,Female,44,73736,0,Clerk,PhD,Widowed
15759066,Female,34,36034,0,Retired,Bachelor,Single
15699247,Male,28,74314,0,Retired,PhD,Married
15655123,Female,24,10000,0,Retired,Master,Widowed
15591915,Female,33,38005,0,Clerk,Bachelor,Married
15692819,Female,56,43709,1,Artist,PhD,Married
15764419,Female,24,32749,0,Teacher,PhD,Widowed
15794566,Female,54,127531,0,Artist,PhD,Divorced
15581282,Male,37,50497,0,Retired,Bachelor,Divorced
15762228,Female,25,28164,0,Clerk,High School,Widowed
15660200,Female,39,68712,0,Clerk,PhD,Single
15721835,Male,39,64023,0,Salesperson,Master,Married
15792102,Female,26,120832,0,Doctor,Master,Divorced
15593715,Male,60,108822,1,Teacher,Master,Single
15793890,Female,35,93683,0,Teacher,Master,Divorced
15736397,Female,57,29981,1,Chef,Bachelor,Single
15636023,Male,48,105985,0,Doctor,Master,Widowed
15670615,Male,45,39377,1,Salesperson,PhD,Single
15705113,Male,45,28495,1,Chef,PhD,Single
15654574,Female,20,116615,0,Manager,PhD,Married
15815236,Female,45,150000,1,Engineer,Master,Single
15619407,Female,39,128670,0,Teacher,PhD,Widowed
15660866,Female,57,114438,1,Salesperson,PhD,Divorced
15596522,Male,49,86607,1,Salesperson,Bachelor,Married
15622478,Male,49,82164,0,Engineer,PhD,Single
15715160,Male,31,26373,0,Chef,Bachelor,Single
15680243,Female,19,70089,0,Doctor,Bachelor,Single
15779529,Female,60,150000,1,Doctor,PhD,Single
15792008,Male,28,30279,0,Engineer,Bachelor,Divorced
15573452,Female,22,10000,0,Artist,High School,Divorced
15606274,Female,26,39852,0,Chef,High School,Divorced
15672091,Female,18,12944,0,Chef,Bachelor,Single
15707596,Female,59,73744,0,Manager,PhD,Married
15610403,Female,28,76839,0,Manager,Bachelor,Widowed
15694288,Female,34,150000,1,Engineer,PhD,Single
15697020,Female,41,47887,0,Retired,Master,Married
15791174,Male,47,55428,0,Artist,Bachelor,Married
15660200,Female,39,58204,0,Clerk,Bachelor,Widowed
15569641,Female,55,80232,1,Artist,High School,Married
15633531,Female,50,41909,1,Teacher,PhD,Single
15582066,Male,42,96504,0,Doctor,High School,Widowed
15576219,Male,44,80340,0,Doctor,Master,Widowed
15652400,Female,37,55176,0,Teacher,Master,Widowed
15733973,Female,44,141568,1,Doctor,Bachelor,Widowed
15644296,Female,34,105499,0,Manager,PhD,Single
15779862,Male,28,49121,0,Teacher,High School,Married
15669656,Male,28,10000,0,Salesperson,High School,Divorced
15654574,Female,23,94633,0,Salesperson,PhD,Divorced
15713144,Male,36,35262,0,Salesperson,Master,Divorced
15725794,Female,35,69565,0,Teacher,Master,Single
15635893,Male,60,31139,1,Salesperson,High School,Divorced
15782530,Female,34,102089,0,Clerk,Bachelor,Married
15705298,Female,43,91222,1,Clerk,High School,Widowed
15627220,Male,40,75142,0,Technician,Master,Single
15720745,Female,35,150000,1,Doctor,PhD,Divorced
15666675,Female,45,89695,0,Technician,Bachelor,Divorced
15654456,Male,42,75725,1,Clerk,High School,Married
15815236,Female,46,124925,1,Teacher,High School,Divorced
15761950,Female,50,150000,1,Artist,PhD,Single
15801336,Female,41,127241,1,Doctor,High School,Married
15757632,Female,37,49614,0,Retired,PhD,Divorced
15633531,Female,47,15239,1,Salesperson,High School,Single
15708228,Male,33,16915,0,Retired,Master,Married
15673619,Male,23,57332,0,Retired,High School,Married
15776844,Male,33,78968,0,Teacher,Bachelor,Single
15750335,Female,37,89127,0,Engineer,Master,Widowed
15715541,Female,27,77701,0,Retired,Master,Single
15586757,Male,42,150000,1,Doctor,Master,Widowed
15768816,Male,23,66539,0,Retired,Master,Married
15776733,Female,28,63345,0,Engineer,Bachelor,Married
15638963,Female,19,44519,0,Technician,High School,Single
15813113,Male,40,138876,1,Engineer,Master,Married
15750056,Female,54,117328,1,Manager,PhD,Widowed
15690188,Female,34,10000,0,Chef,High School,Married
15609637,Female,43,73943,0,Manager,High School,Married
15586757,Male,38,150000,1,Artist,PhD,Single
15680243,Female,19,34836,0,Artist,Bachelor,Single
15715622,Female,44,119743,1,Chef,High School,Widowed
15724161,Female,51,42454,0,Chef,Bachelor,Divorced
15595917,Male,30,75237,0,Clerk,Master,Single
15668504,Female,19,110938,0,Engineer,Master,Married
15715160,Male,31,19265,0,Artist,High School,Single
15792102,Female,23,85822,0,Chef,Master,Divorced
15697424,Female,47,10000,0,Clerk,Bachelor,Divorced
15779744,Male,37,73532,0,Clerk,PhD,Single
15596522,Male,49,137094,1,Doctor,PhD,Divorced
15596984,Female,43,83242,0,Chef,PhD,Single
15768151,Female,55,133122,1,Manager,Master,Divorced
15789815,Male,28,122243,1,Clerk,High School,Widowed
15629885,Female,42,95417,0,Engineer,Bachelor,Widowed
15625395,Male,55,68232,1,Manager,Master,Widowed
15609653,Female,36,39911,0,Retired,Master,Married
15631159,Male,44,34256,1,Engineer,High School,Widowed
15619465,Female,48,33239,1,Technician,Master,Single
15709183,Male,43,64097,0,Manager,Bachelor,Widowed
15596522,Male,50,76627,1,Teacher,High School,Married
15739160,Male,42,111285,0,Manager,PhD,Widowed
15631070,Female,40,50499,0,Technician,Bachelor,Married
15669656,Male,33,15641,0,Artist,Bachelor,Divorced
15736228,Male,40,69666,0,Artist,Master,Single
15713912,Female,38,49850,1,Clerk,High School,Widowed
15750839,Female,27,91626,1,Chef,Bachelor,Married
15589449,Male,37,107486,1,Salesperson,Master,Married
15663161,Male,36,96892,1,Engineer,High School,Single
15588080,Female,50,92902,1,Chef,High School,Single
15668575,Female,24,39103,0,Salesperson,Bachelor,Widowed
15595324,Female,33,97087,0,Manager,Master,Married
15671387,Female,40,52793,0,Clerk,Bachelor,Married
15706071,Male,52,34820,1,Manager,Bachelor,Single
15715541,Female,29,103607,0,Doctor,High School,Married
15708791,Male,56,120865,1,Artist,High School,Divorced
15584320,Female,35,150000,1,Artist,Master,Divorced
15674331,Male,44,25905,0,Retired,High School,Married
15660200,Female,37,69228,0,Teacher,Bachelor,Divorced
15636428,Female,33,130730,0,Salesperson,PhD,Single
15776844,Male,36,89943,0,Teacher,Master,Widowed
15782806,Female,28,37905,0,Artist,Master,Widowed
15679651,Female,28,10000,0,Salesperson,Bachelor,Single
15746422,Female,21,66255,0,Clerk,High School,Divorced
15745083,Male,23,94133,0,Teacher,PhD,Single
15692819,Female,59,23983,1,Clerk,Master,Single
15579212,Male,38,114982,0,Doctor,Master,Widowed
15792008,Male,31,10000,0,Technician,High School,Single
15711218,Male,36,69285,0,Salesperson,High School,Single
15705298,Female,43,125005,1,Engineer,High School,Married
15699284,Female,27,67618,0,Engineer,PhD,Married
15644296,Female,35,58043,0,Artist,High School,Single
15708196,Male,46,103839,0,Doctor,Bachelor,Divorced
15716781,Female,43,30076,0,Retired,High School,Divorced
15639576,Female,50,73006,1,Retired,High School,Married
15744529,Male,31,47481,0,Technician,Master,Widowed
15697424,Female,48,10000,0,Technician,Bachelor,Married
15801658,Male,22,69382,0,Clerk,PhD,Single
15806901,Female,55,45947,1,Chef,PhD,Single
15583681,Male,35,103262,1,Chef,High School,Divorced
15733883,Male,50,23507,1,Clerk,PhD,Divorced
15706185,Female,29,69675,0,Engineer,Master,Single
15697574,Female,32,74570,0,Chef,Master,Divorced
15786993,Female,31,71218,0,Technician,Bachelor,Divorced
15705113,Male,48,37351,1,Chef,PhD,Widowed
15679297,Male,37,52113,0,Retired,Bachelor,Divorced
15662067,Female,22,19358,0,Chef,Bachelor,Married
15667742,Male,34,61270,0,Artist,PhD,Single
15733973,Female,47,96352,1,Technician,High School,Married
15668504,Female,18,112991,0,Doctor,Bachelor,Single
15768151,Female,54,85521,1,Clerk,High School,Divorced
15699284,Female,31,54858,0,Manager,Master,Divorced
15749381,Female,59,10000,1,Retired,Bachelor,Divorced
15617877,Female,43,97095,0,Teacher,PhD,Single
15631912,Female,26,95137,0,Engineer,High School,Married
15744279,Male,29,107287,1,Chef,Master,Divorced
15749130,Female,38,43996,0,Teacher,Master,Widowed
15595228,Female,22,10000,0,Clerk,High School,Widowed
15631912,Female,27,92430,0,Chef,Master,Single
15704987,Male,35,47758,0,Manager,PhD,Married
15747097,Female,38,91264,0,Manager,Bachelor,Divorced
15668385,Male,39,88234,0,Doctor,PhD,Widowed
15811613,Female,39,64468,0,Clerk,Bachelor,Widowed
15629885,Female,37,77448,0,Technician,Master,Married
15774872,Female,54,106141,1,Retired,High School,Divorced
15809347,Female,42,96246,0,Manager,PhD,Married
15789432,Female,40,117585,0,Doctor,Master,Widowed
15685536,Male,35,60275,0,Salesperson,Bachelor,Married
15649668,Male,39,58681,0,Retired,Bachelor,Single
15680752,Female,42,121177,0,Clerk,Bachelor,Widowed
15638646,Male,46,150000,0,Doctor,PhD,Single
15734312,Male,40,65127,0,Artist,High School,Married
15575247,Female,51,115894,1,Salesperson,High School,Married
15714658,Male,45,16900,1,Clerk,High School,Married
15685346,Male,57,146909,1,Artist,PhD,Divorced
15577806,Male,42,65816,1,Technician,High School,Married
15711218,Male,32,90688,0,Technician,Master,Widowed
15578006,Male,26,60909,0,Clerk,PhD,Divorced
15673619,Male,26,75469,0,Retired,Master,Single
15666141,Female,18,93525,0,Doctor,Bachelor,Widowed
15728773,Male,26,34283,0,Retired,Bachelor,Widowed
15609637,Female,38,59732,0,Technician,Bachelor,Single
15668504,Female,18,96820,0,Engineer,High School,Single
15794566,Female,51,130066,0,Artist,PhD,Divorced
15741094,Male,18,25669,0,Chef,Master,Divorced
15804002,Male,20,86339,0,Manager,Bachelor,Married
15579212,Male,36,122664,0,Doctor,PhD,Single
15750447,Male,36,96883,1,Manager,Master,Divorced
15592877,Male,35,28842,0,Salesperson,PhD,Widowed
15596761,Male,35,138451,1,Engineer,High School,Married
15732987,Male,60,135379,1,Artist,High School,Single
15733973,Female,49,150000,1,Doctor,PhD,Married
15685346,Male,56,150000,1,Manager,PhD,Married
15778830,Female,56,52027,1,Manager,Bachelor,Divorced
15692819,Female,60,29352,1,Manager,High School,Divorced
15708791,Male,56,147356,1,Engineer,Bachelor,Divorced
15586757,Male,38,150000,1,Engineer,PhD,Single
15764195,Female,21,53949,0,Chef,Master,Single
15762605,Male,26,57208,0,Manager,Master,Widowed
15747097,Female,37,83252,0,Technician,PhD,Married
15622585,Male,36,92284,1,Retired,PhD,Widowed
15692819,Female,54,25142,1,Artist,Bachelor,Married
15629739,Female,50,47179,1,Artist,Bachelor,Widowed
15713463,Male,43,66334,0,Teacher,High School,Divorced
15671655,Female,36,70468,0,Doctor,PhD,Single
15598070,Female,42,58792,0,Teacher,Bachelor,Married
15786993,Female,28,117304,0,Doctor,Bachelor,Single
15789109,Female,29,104217,0,Artist,High School,Divorced
15664907,Male,56,150000,1,Manager,PhD,Single
15605327,Male,41,68408,0,Doctor,High School,Widowed
15678168,Female,39,89446,0,Doctor,Master,Divorced
15757837,Male,38,70151,0,Engineer,Master,Married
15642885,Male,22,10000,0,Clerk,High School,Married
15706185,Female,29,40513,0,Chef,Master,Divorced
15708196,Male,48,98259,0,Manager,Master,Widowed
15736397,Female,60,47250,1,Artist,Master,Divorced
15583137,Male,43,66832,0,Salesperson,Master,Single
15800215,Female,45,28637,0,Technician,High School,Divorced
15713463,Male,44,90164,0,Artist,PhD,Married
15671766,Female,27,60975,0,Teacher,High School,Widowed
15614827,Female,34,36042,0,Retired,High School,Married
15668504,Female,19,96327,0,Chef,PhD,Widowed
15704987,Male,33,62179,0,Doctor,Master,Married
15592570,Male,49,35036,1,Manager,Bachelor,Divorced
15800890,Female,40,150000,1,Engineer,Master,Divorced
15714658,Male,47,35808,1,Chef,Bachelor,Divorced
15601550,Female,36,43437,0,Artist,High School,Single
15600379,Male,45,56828,1,Retired,High School,Married
15685346,Male,58,119631,1,Salesperson,High School,Divorced
15672821,Female,57,137069,1,Salesperson,PhD,Divorced
15697424,Female,44,62320,0,Doctor,PhD,Single
15814004,Male,28,24768,0,Clerk,PhD,Single
15775562,Female,24,41192,0,Chef,Bachelor,Widowed
15611430,Female,60,54285,1,Technician,PhD,Widowed
15753874,Female,38,110891,0,Manager,PhD,Divorced
15576219,Male,38,46727,0,Clerk,PhD,Married
15609669,Female,57,95466,1,Artist,Master,Widowed
15804002,Male,18,71311,0,Salesperson,Bachelor,Single
15766289,Male,30,80815,0,Artist,High School,Married
15787550,Male,42,32508,0,Technician,High School,Single
15629739,Female,45,83696,1,Manager,PhD,Married
15581198,Male,34,69114,0,Clerk,PhD,Single
15654901,Female,29,44313,0,Artist,High School,Widowed
15619087,Female,37,65254,0,Engineer,Bachelor,Divorced
15734312,Male,36,67400,0,Salesperson,Bachelor,Divorced
15750335,Female,34,45022,0,Retired,Master,Married
15671387,Female,43,66775,0,Artist,High School,Married
15814816,Male,33,69230,0,Clerk,PhD,Widowed
15669656,Male,30,24147,0,Salesperson,PhD,Divorced
15774744,Male,60,89289,1,Salesperson,PhD,Widowed
15652400,Female,35,30682,0,Chef,High School,Single
15701962,Male,40,74640,0,Engineer,Bachelor,Married
15717560,Female,39,55632,0,Chef,Bachelor,Divorced
15694829,Female,35,135574,1,Artist,High School,Single
15801658,Male,20,66015,0,Technician,Bachelor,Married
15687491,Male,27,101482,1,Retired,PhD,Widowed
15694288,Female,29,133814,1,Artist,PhD,Married
15806901,Female,58,38044,1,Teacher,Master,Married
15665760,Male,42,95278,1,Clerk,High School,Divorced
15596984,Female,44,113885,0,Engineer,PhD,Single
15697424,Female,44,20500,0,Artist,Bachelor,Divorced
15779862,Male,29,71992,0,Engineer,High School,Divorced
15708791,Male,57,138063,1,Artist,Master,Single
15815236,Female,48,128771,1,Technician,Master,Widowed
15610801,Male,43,89599,0,Doctor,High School,Divorced
15675791,Male,46,61626,0,Retired,Bachelor,Married
15718071,Male,25,48532,0,Teacher,High School,Divorced
15649487,Male,43,10000,1,Retired,High School,Widowed
15625395,Male,53,58085,1,Manager,Bachelor,Divorced
15575247,Female,48,98055,1,Retired,High School,Widowed
15619653,Male,41,79808,0,Doctor,High School,Widowed
15610403,Female,28,76649,0,Artist,PhD,Married
15753874,Female,39,93444,0,Teacher,Master,Widowed
15577514,Male,46,150000,1,Manager,Master,Divorced
15768151,Female,51,88313,1,Retired,Bachelor,Single
15792008,Male,33,13689,0,Clerk,Master,Married
15583681,Male,29,135050,1,Manager,Bachelor,Married
15801336,Female,40,90091,1,Retired,Bachelor,Divorced
15636428,Female,30,126767,0,Manager,Bachelor,Single
15660200,Female,37,90673,0,Doctor,High School,Single
15665760,Male,37,129143,1,Teacher,Master,Married
15769902,Male,40,64479,0,Clerk,PhD,Single
15692819,Female,59,41724,1,Teacher,PhD,Divorced
15624755,Female,52,43581,1,Artist,PhD,Married
15693264,Male,38,47698,0,Retired,PhD,Single
15795224,Female,38,122497,1,Clerk,PhD,Widowed
15622171,Male,36,41435,0,Technician,Bachelor,Widowed
15801247,Male,30,36748,0,Technician,PhD,Single
15706071,Male,50,22712,1,Teacher,Bachelor,Single
15691808,Female,38,60044,0,Artist,High School,Divorced
15747097,Female,42,82954,0,Technician,PhD,Divorced
15775335,Male,53,91438,1,Engineer,Master,Single
15624755,Female,52,33825,1,Chef,Master,Widowed
15722758,Male,29,49871,0,Engineer,Master,Single
15725794,Female,39,59163,0,Clerk,PhD,Divorced
15705113,Male,44,26455,1,Technician,PhD,Divorced
15724402,Female,21,87594,0,Salesperson,Master,Widowed
15625395,Male,56,29557,1,Retired,Master,Married
15606472,Male,60,40497,1,Technician,PhD,Single
15695679,Female,40,62917,0,Salesperson,Master,Single
15800061,Female,29,44719,0,Teacher,High School,Single
15603246,Female,27,58635,0,Clerk,PhD,Single
15795224,Female,36,150000,1,Doctor,PhD,Married
15800215,Female,43,51005,0,Retired,PhD,Married
15789815,Male,31,140000,1,Teacher,High School,Married
15638646,Male,48,133285,0,Teacher,High School,Widowed
15575247,Female,46,135980,1,Salesperson,Master,Married
15792818,Male,51,28550,1,Technician,Master,Married
15575002,Female,34,87257,0,Manager,Master,Single
15730688,Male,38,43995,0,Teacher,High School,Single
15807525,Female,56,40629,1,Teacher,Master,Married
15708196,Male,47,112145,0,Doctor,Master,Married
15680243,Female,21,65248,0,Engineer,Master,Divorced
15578006,Male,23,38546,0,Retired,Bachelor,Single
15697020,Female,37,84112,0,Engineer,Bachelor,Divorced
15786993,Female,28,93823,0,Teacher,Master,Married
15595228,Female,20,12943,0,Chef,High School,Married
15638003,Female,32,59308,0,Artist,Master,Married
15588080,Female,56,114473,1,Engineer,High School,Single
15578006,Male,26,53721,0,Chef,Bachelor,Married
15667742,Male,33,41438,0,Chef,Bachelor,Single
15657163,Male,36,102925,0,Doctor,Master,Married
